INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Butler','Cordelia','kedhu','2000-4-7',1273,5,1);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Mills','Michael','bub','1962-9-7',459,6,1);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Gigli','Brian','faodica','1988-4-2',816,1,1);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Oliva','Rena','pog','1961-4-6',44,5,1);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Martinez','Charlie','kobag','1982-8-5',1152,6,1);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Hale','Ryan','zoheme','1964-6-7',1124,1,2);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Franklin','Philip','zimpe','1981-9-7',1871,1,2);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Hughes','Annie','jepfenbif','1970-1-4',1642,2,2);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Leonardi','Emilie','edwig','1986-12-2',1025,5,2);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Sutton','Jorge','evohes','1962-2-3',1180,5,2);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Manni','Edward','koegufuw','1989-5-5',19,2,3);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Mendez','Isaiah','ruvev','1987-10-5',1,2,3);
INSERT INTO Joueur (nom, prenom, pseudonyme, dateNaissance, salaire, idPays, idEquipe) VALUES('Patterson','Alice','kovonougo','1976-8-7',1391,6,3);
